accident_index,accident_year,accident_reference,location_easting_osgr,location_northing_osgr,longitude,latitude,police_force,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,local_authority_district,local_authority_ons_district,local_authority_highway,first_road_class,first_road_number,road_type,speed_limit,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,trunk_road_flag,lsoa_of_accident_location,datetime
2018135110070,2018,135110070,411057,435169,-1.83356,53.812706,West Yorkshire,Slight,1,1,2018-01-01,Monday,00:25:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,40,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010672,2018-01-01T00:25:00Z
2018135111193,2018,135111193,411247,437980,-1.830573,53.837967,West Yorkshire,Serious,2,1,2018-01-01,Monday,12:20:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,40,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,Central refuge,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010596,2018-01-01T12:20:00Z
2018135121185,2018,135121185,410074,442149,-1.848264,53.875461,West Yorkshire,Slight,1,1,2018-01-02,Tuesday,16:50:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010706,2018-01-02T16:50:00Z
2018135131754,2018,135131754,406433,441856,-1.903649,53.872885,West Yorkshire,Slight,2,1,2018-01-03,Wednesday,17:31:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010701,2018-01-03T17:31:00Z
2018135131777,2018,135131777,418171,430367,-1.725803,53.769349,West Yorkshire,Slight,2,2,2018-01-03,Wednesday,21:23:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010815,2018-01-03T21:23:00Z
2018135141851,2018,135141851,414735,434105,-1.777754,53.803053,West Yorkshire,Slight,2,1,2018-01-04,Thursday,22:14:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,Non-trunk,E01010812,2018-01-04T22:14:00Z
2018135151357,2018,135151357,406867,441959,-1.897046,53.873805,West Yorkshire,Slight,2,1,2018-01-05,Friday,17:10:00,Bradford,E08000032,E08000032,A,NA,Roundabout,30,Roundabout,Give way or uncontrolled,A,NA,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None,Urban,No,Non-trunk,E01010700,2018-01-05T17:10:00Z
2018135160515,2018,135160515,405205,448907,-1.922208,53.936271,West Yorkshire,Slight,1,1,2018-01-06,Saturday,10:20:00,Bradford,E08000032,E08000032,A,NA,Single carriageway,60,Not at junction or within 20 metres,Data missing or out of range,NA,Unknown,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Rural,Yes,Non-trunk,E01010638,2018-01-06T10:20:00Z
2018135160666,2018,135160666,418230,431221,-1.724858,53.777022,West Yorkshire,Slight,2,2,2018-01-06,Saturday,11:57:00,Bradford,E08000032,E08000032,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,Non-trunk,E01010614,2018-01-06T11:57:00Z
2018135161266,2018,135161266,413422,435308,-1.797638,53.8139,West Yorkshire,Slight,2,1,2018-01-05,Friday,17:04:00,Bradford,E08000032,E08000032,B,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,None within 50 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,No,Non-trunk,E01010671,2018-01-05T17:04:00Z
